['127', '1527156418702', '-0.137', '0.314', '10.356', 'AccStLineZ'],
['128', '1527156418710', '-0.235', '0.294', '10.375', 'AccStLineZ'],
['129', '1527156418719', '-0.157', '0.353', '10.356', 'AccStLineZ'],
['130', '1527156418727', '-0.02', '0.333', '10.336', 'AccStLineZ'],
['131', '1527156418738', '0.02', '0.412', '10.395', 'AccStLineZ'],
['132', '1527156418744', '0.02', '0.412', '10.395', 'AccStLineZ'],
['133', '1527156418753', '-0.039', '0.412', '10.415', 'AccStLineZ'],
['134', '1527156418762', '-0.078', '0.412', '10.356', 'AccStLineZ'],
['135', '1527156418770', '-0.235', '0.412', '10.356', 'AccStLineZ'],
['136', '1527156418778', '-0.177', '0.431', '10.277', 'AccStLineZ'],
['137', '1527156418786', '-0.216', '0.451', '10.277', 'AccStLineZ'],
['138', '1527156418795', '-0.216', '0.451', '10.277', 'AccStLineZ'],
['139', '1527156418803', '-0.255', '0.49', '10.297', 'AccStLineZ'],
['140', '1527156418812', '-0.235', '0.471', '10.16', 'AccStLineZ'],
['141', '1527156418820', '-0.157', '0.412', '10.258', 'AccStLineZ'],
['142', '1527156418829', '-0.098', '0.314', '10.356', 'AccStLineZ'],
['143', '1527156418837', '0.098', '0.412', '10.199', 'AccStLineZ'],
['144', '1527156418846', '0.098', '0.412', '10.199', 'AccStLineZ'],
['145', '1527156418854', '0.078', '0.353', '10.199', 'AccStLineZ'],
['146', '1527156418862', '0.078', '0.412', '10.258', 'AccStLineZ'],
['147', '1527156418871', '0.039', '0.412', '10.277', 'AccStLineZ'],
['148', '1527156418879', '0.098', '0.431', '10.336', 'AccStLineZ'],
['149', '1527156418888', '-0.118', '0.451', '10.297', 'AccStLineZ'],
['150', '1527156418896', '-0.118', '0.451', '10.297', 'AccStLineZ'],
['151', '1527156418905', '0.02', '0.471', '10.395', 'AccStLineZ'],
['152', '1527156418913', '-0.078', '0.431', '10.356', 'AccStLineZ'],
['153', '1527156418921', '-0.118', '0.392', '10.336', 'AccStLineZ'],
['154', '1527156418930', '-0.137', '0.431', '10.552', 'AccStLineZ'],
['155', '1527156418939', '-0.196', '0.412', '10.532', 'AccStLineZ'],
['156', '1527156418946', '-0.196', '0.412', '10.532', 'AccStLineZ'],
['157', '1527156418955', '-0.294', '0.373', '10.532', 'AccStLineZ'],
['158', '1527156418963', '-0.373', '0.412', '10.395', 'AccStLineZ'],
['159', '1527156418972', '-0.314', '0.471', '10.375', 'AccStLineZ'],
['160', '1527156418980', '-0.255', '0.412', '10.395', 'AccStLineZ'],
['161', '1527156418988', '-0.039', '0.431', '10.356', 'AccStLineZ'],
['162', '1527156418997', '-0.039', '0.431', '10.356', 'AccStLineZ'],
['163', '1527156419005', '-0.078', '0.451', '10.375', 'AccStLineZ'],
['164', '1527156419014', '-0.196', '0.49', '10.336', 'AccStLineZ'],
['165', '1527156419022', '-0.255', '0.451', '10.277', 'AccStLineZ'],
['166', '1527156419030', '-0.255', '0.451', '10.317', 'AccStLineZ'],
['167', '1527156419039', '-0.255', '0.412', '10.258', 'AccStLineZ'],
['168', '1527156419047', '-0.255', '0.412', '10.258', 'AccStLineZ'],
['169', '1527156419056', '-0.157', '0.373', '10.179', 'AccStLineZ'],
['170', '1527156419064', '-0.235', '0.373', '10.317', 'AccStLineZ'],
['171', '1527156419073', '-0.255', '0.392', '10.219', 'AccStLineZ'],
['172', '1527156419081', '-0.039', '0.431', '10.317', 'AccStLineZ'],
['173', '1527156419089', '-0.039', '0.431', '10.297', 'AccStLineZ'],
['174', '1527156419098', '-0.039', '0.431', '10.297', 'AccStLineZ'],
['175', '1527156419106', '0.039', '0.451', '10.277', 'AccStLineZ'],
['176', '1527156419115', '0.098', '0.53', '10.297', 'AccStLineZ'],
['177', '1527156419123', '-0.02', '0.431', '10.375', 'AccStLineZ'],
['178', '1527156419132', '-0.02', '0.471', '10.336', 'AccStLineZ'],
['179', '1527156419140', '-0.039', '0.451', '10.277', 'AccStLineZ'],
['180', '1527156419148', '-0.039', '0.451', '10.277', 'AccStLineZ'],
['181', '1527156419156', '-0.118', '0.412', '10.336', 'AccStLineZ'],
