62,0.01,-0.05,0.05,-0.53,-0.52,0.24,3436.0,
63,0.01,-0.06,0.0,-4.24,2.35,-0.78,3456.0,
64,0.01,-0.04,-0.0,1.15,0.08,3.95,3475.0,
65,0.01,-0.07,0.0,-5.31,1.12,-0.05,3495.0,
66,0.02,-0.11,0.01,-10.95,2.45,3.15,3514.0,
67,0.02,-0.02,-0.0,-1.28,1.2,-0.3,3533.0,
68,-0.01,-0.06,0.08,2.05,-1.8,-2.34,3559.0,
69,-0.0,-0.06,0.0,1.64,-0.52,-1.79,3578.0,
70,0.0,0.07,-0.04,-1.16,0.68,3.01,3597.0,
71,0.0,-0.04,0.03,-0.37,-0.05,3.92,3617.0,
72,0.01,0.01,-0.03,-6.58,3.44,6.53,3644.0,
73,-0.01,0.08,0.03,0.91,1.6,-6.82,3663.0,
74,0.02,0.12,-0.03,9.08,-2.28,-8.74,3682.0,
75,0.02,-0.05,-0.02,2.63,0.36,0.46,3702.0,
76,0.01,0.07,-0.0,2.13,0.92,-3.96,3723.0,
77,-0.01,-0.01,-0.01,4.31,-0.44,-9.73,3742.0,
78,-0.0,-0.19,0.01,3.12,-0.26,-10.44,3761.0,
79,0.02,0.03,0.06,-2.62,-0.9,-7.09,3781.0,
80,-0.01,-0.11,-0.03,1.46,0.76,-0.78,3800.0,
81,-0.01,0.01,-0.04,0.4,1.38,-10.21,3819.0,
82,0.0,-0.05,-0.03,7.08,-1.68,-5.48,3841.0,
83,0.0,0.01,-0.03,2.74,0.92,-5.7,3899.0,
84,0.01,-0.14,0.0,2.47,0.83,-8.28,3860.0,
85,0.02,0.06,-0.01,2.47,0.82,-2.92,3879.0,
86,0.01,0.04,-0.02,2.2,2.22,-1.79,3921.0,
87,-0.04,-0.1,-0.01,-1.15,2.41,4.92,3943.0,
88,-0.01,-0.22,-0.01,-7.98,2.74,-0.04,3963.0,
89,0.01,0.2,0.01,-3.5,2.47,-5.31,3987.0,
90,-0.01,0.11,0.0,-4.88,1.76,-0.32,4006.0,
91,0.0,0.06,0.04,1.72,-1.99,-2.1,4025.0,
92,0.04,-0.05,-0.04,0.65,-1.39,-4.23,4046.0,
93,0.01,-0.12,-0.02,-0.63,0.13,-1.26,4066.0,
94,0.0,-0.06,0.08,0.01,1.61,-1.96,4092.0,
95,0.01,-0.06,-0.01,-1.43,2.2,-3.5,4111.0,
96,-0.0,0.06,-0.01,1.15,1.65,-2.58,4134.0,
97,-0.02,0.04,-0.0,-4.2,2.39,4.04,4153.0,
98,0.01,0.1,-0.0,5.15,-0.05,-3.63,4179.0,
99,-0.01,-0.01,0.01,3.04,-0.82,-2.75,4199.0,
100,0.02,-0.07,-0.02,-0.6,-0.03,-0.9,4221.0,
101,-0.0,0.04,-0.01,1.83,0.27,1.21,4241.0,
102,0.02,-0.04,0.02,-2.48,2.65,7.42,4260.0,
103,0.01,-0.11,0.02,11.66,0.04,2.8,4288.0,
104,0.03,0.06,-0.02,-1.66,4.92,11.53,4307.0,
105,0.12,0.28,0.04,23.52,-2.73,4.02,4327.0,
106,-0.02,-0.1,0.01,-4.75,6.27,-4.75,4347.0,
107,0.02,0.15,0.01,2.76,4.7,-4.89,4366.0,
108,-0.06,-0.17,0.0,-4.53,6.6,-10.16,4385.0,
109,0.04,0.13,0.02,5.39,2.67,-0.24,4404.0,
110,0.03,-0.05,-0.0,10.73,1.24,2.73,4425.0,
111,0.0,0.04,0.01,5.83,2.77,-0.5,4444.0,
